Source;Target;Weight;In index
Bajzhanov Zhajau Musa;Leo Tolstoy;1;1
Maklakov Vasilij Alekseevich;Leo Tolstoy;1;10
Savel'ev Vladimir Dmitrievich;Leo Tolstoy;1;1
Rudolf Kassner;Leo Tolstoy;1;1
Nikolai Alekseevich Nekrasov;Leo Tolstoy;1;10
Leo Tolstoy;Makovitskij Dushan Petrovich;1;10
René Doumic;Leo Tolstoy;1;10
Alexandr Ostrovsky;Leo Tolstoy;1;10
Golovachev Apollon Filippovich;Leo Tolstoy;1;1
Golikov Vadim Sergeevich;Leo Tolstoy;1;1
Dvorzhetskij Vatslav Janovich;Leo Tolstoy;2;1
Gorbunov Andrej Nikolaevich;Leo Tolstoy;1;1
Gorbatov Boris Fedorovich;Leo Tolstoy;1;1
Makkavejskij Nikolaj Kornil'evich;Leo Tolstoy;1;1
Leo Tolstoy;Taneev Sergej Ivanovich;1;10
L'vov Aleksej Evgen'evich;Leo Tolstoy;1;1
Aksel'rod Ljubov' Isaakovna;Leo Tolstoy;1;1
Shevchenko Faina Vasil'evna;Leo Tolstoy;1;1
Potapenko Ignatij Nikolaevich;Leo Tolstoy;1;10
Romanov Mihail Fedorovich;Leo Tolstoy;1;10
Anninskij Lev Aleksandrovich;Leo Tolstoy;2;1
Bogdanovich Aleksej Vladimirovich;Leo Tolstoy;1;1
Tolstaja Tat'jana Vladimirovna;Leo Tolstoy;1;1
Demidova Alla Sergeevna;Leo Tolstoy;1;1
Bichevin Leonid Aleksandrovich;Leo Tolstoy;1;1
Gorchakov Aleksandr Mihajlovich;Leo Tolstoy;1;10
Tolstoj Il'ja Andreevich;Leo Tolstoy;1;10
Leo Tolstoy;Blok Aleksandr Aleksandrovich;1;10
Pisemskij Aleksej Feofilaktovich;Leo Tolstoy;1;10
Hohlov Konstantin Pavlovich;Leo Tolstoy;1;1
Vasil'ev Aleksandr;Leo Tolstoy;1;10
Mak Karl;Leo Tolstoy;1;1
Chizhevskij Aleksandr Leonidovich;Leo Tolstoy;1;1
Haas Dolli;Leo Tolstoy;1;1
Lipkan Aleksandr Mihajlovich;Leo Tolstoy;1;1
Leo Tolstoy;Lomunov Konstantin Nikolaevich;1;1
Radin Nikolaj Mariusovich;Leo Tolstoy;1;1
Tolstoj Lev L'vovich;Leo Tolstoy;1;10
C P Snow;Leo Tolstoy;1;1
Gzhegozhevskij Ezhi;Leo Tolstoy;1;1
Rasskazov Aleksandr Andreevich;Leo Tolstoy;1;10
Svobodin Nikolaj Kapitonovich;Leo Tolstoy;1;1
Harchenko Sergej Vasil'evich;Leo Tolstoy;1;1
Leo Tolstoy;Romain Rolland;1;10
Varpahovskaja Anna Leonidovna;Leo Tolstoy;1;1
Al'fano Franko;Leo Tolstoy;1;1
Benmjussa Simona;Leo Tolstoy;1;1
Nikolai Leskov;Leo Tolstoy;1;10
Rozen Andrej Evgen'evich;Leo Tolstoy;1;10
Tsinger Aleksandr Vasil'evich;Leo Tolstoy;2;10
Leo Tolstoy;Tolstaja Sof'ja Andreevna;1;10
Mellori Ljusi;Leo Tolstoy;1;10
Armfel'd Natal'ja Aleksandrovna;Leo Tolstoy;1;10
Filippov Mihail Mihajlovich;Leo Tolstoy;1;10
Mejer Dmitrij Ivanovich;Leo Tolstoy;1;10
Nizovoj Viktor Alekseevich;Leo Tolstoy;1;1
Orlov Nikolaj Vasil'evich;Leo Tolstoy;1;10
Elanskaja Klavdija Nikolaevna;Leo Tolstoy;1;1
Gornfel'd Arkadij Georgievich;Leo Tolstoy;1;1
Birjukov Pavel Ivanovich;Leo Tolstoy;1;10
Korzhev Ivan Vladimirovich;Leo Tolstoy;1;1
Chitati P'etro;Leo Tolstoy;1;1
Lukin Viktor Dmitrievich;Leo Tolstoy;1;1
Lopato Ljudmila Il'inichna;Leo Tolstoy;1;1
Perle Rudol'f;Leo Tolstoy;1;1
Gradopolov Konstantin Konstantinovich;Leo Tolstoy;1;1
De Mestr Zhozef;Leo Tolstoy;1;10
Viktjuk Roman Grigor'evich;Leo Tolstoy;1;1
Janachek Leosh;Leo Tolstoy;1;1
Gorin-Gorjajnov Boris Anatol'evich;Leo Tolstoy;1;1
Pankov Pavel Petrovich;Leo Tolstoy;1;1
Stanitsyn Viktor Jakovlevich;Leo Tolstoy;1;1
Kreslin'sh Osval'd;Leo Tolstoy;1;1
Maksakova Ljudmila Vasil'evna;Leo Tolstoy;1;1
Bromfild Endrju;Leo Tolstoy;1;1
Komashko Aleksej Aleksandrovich;Leo Tolstoy;1;1
Martynov Nikolaj Avenirovich;Leo Tolstoy;1;10
Fofanov Konstantin Mihajlovich;Leo Tolstoy;1;10
Mitropol'skij Ivan Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Aksakov Konstantin Sergeevich;1;10
Leo Tolstoy;Botkin Vasilij Petrovich;1;10
Tihonravov Nikolaj Savvich;Leo Tolstoy;1;10
Tizengauzen Fedor Ivanovich;Leo Tolstoy;1;10
Valentin Fyodorovich Bulgakov;Leo Tolstoy;2;10
Burygina Julija Ivanovna;Leo Tolstoy;1;1
Beroev Egor Vadimovich;Leo Tolstoy;1;1
Kurosava Akira;Leo Tolstoy;1;1
Gerasimov Sergej Apollinarievich;Leo Tolstoy;1;1
Davidit Rivka;Leo Tolstoy;1;1
Osmolovskaja Zoja Vasil'evna;Leo Tolstoy;1;1
Orlov Dmitrij Nikolaevich;Leo Tolstoy;1;1
Pletnev Aleksandr Borisovich;Leo Tolstoy;1;1
Korolitskij Mark Samojlovich;Leo Tolstoy;1;1
Stepurina Dora Fedorovna;Leo Tolstoy;1;1
Nurgali Rymgali Nurgalievich;Leo Tolstoy;1;1
Zagurskaja Galina Nikolaevna;Leo Tolstoy;1;1
Astrejko Anatol';Leo Tolstoy;1;1
Otsup Petr Adol'fovich;Leo Tolstoy;1;1
Starikov Vitalij Alekseevich;Leo Tolstoy;1;1
Leo Tolstoy;Solov'ev Evgenij Andreevich;1;1
Suvorin Aleksej Sergeevich;Leo Tolstoy;1;10
Prudkin Mark Isaakovich;Leo Tolstoy;1;1
Pobedin Konstantin Vladimirovich;Leo Tolstoy;1;1
Leo Tolstoy;Fyodor Dostoevsky;1;10
Korejsha Ivan Jakovlevich;Leo Tolstoy;1;10
Leo Tolstoy;Luk'janov Sergej Mihajlovich;1;1
Ivannikov Mihail Dmitrievich;Leo Tolstoy;1;1
Dikij Aleksej Denisovich;Leo Tolstoy;1;1
Karazin Nikolaj Nikolaevich;Leo Tolstoy;1;10
Lambin Petr Borisovich;Leo Tolstoy;1;10
Stolypin Arkadij Dmitrievich;Leo Tolstoy;1;10
Gordin Jakov Mihajlovich;Leo Tolstoy;1;10
Bari Aleksandr Veniaminovich;Leo Tolstoy;1;10
Popper-Linkeus Jozef;Leo Tolstoy;1;1
Jakovlev Jurij Vasil'evich;Leo Tolstoy;1;1
Kletnietse Milda;Leo Tolstoy;1;1
Knipper-Chehova Ol'ga Leonardovna;Leo Tolstoy;1;1
Tagiev Gadzhi Zejnalabdin;Leo Tolstoy;1;1
Leo Tolstoy;Korolenko Vladimir Galaktionovich;1;10
Osipov Valentin Osipovich;Leo Tolstoy;1;1
Mamyshev-Monro Vladislav Jur'evich;Leo Tolstoy;1;1
Leo Tolstoy;Charles Dickens;1;1
Jakovlev Anton Jur'evich;Leo Tolstoy;1;1
Vjazemskij Petr Andreevich;Leo Tolstoy;1;1
Vladimir Vysotsky;Leo Tolstoy;1;1
Kolobov Leonid Nikolaevich;Leo Tolstoy;1;1
Leo Tolstoy;Read Nikolaj Andreevich;1;10
Leo Tolstoy;Murav'ev-Apostol Ivan Matveevich;1;10
Belkin Andrej Mihajlovich;Leo Tolstoy;1;1
Pitoev Zhorzh;Leo Tolstoy;1;1
Novoselov Mihail Aleksandrovich;Leo Tolstoy;1;10
Shvarts Rafael';Leo Tolstoy;1;1
Shatillo Ivan Bronislavovich;Leo Tolstoy;1;1
Leo Tolstoy;Immanuel Kant;1;10
Belevtseva Natalija Alekseevna;Leo Tolstoy;1;1
Balibar Zhanna;Leo Tolstoy;1;1
Plescheev Aleksej Nikolaevich;Leo Tolstoy;1;10
Haljutina Sof'ja Vasil'evna;Leo Tolstoy;1;1
Nadir Mojshe;Leo Tolstoy;1;1
Strahov Fedor Alekseevich;Leo Tolstoy;1;10
Bykov Dmitrij L'vovich;Leo Tolstoy;1;1
Svarog Vasilij Semenovich;Leo Tolstoy;1;1
Kobejn Kurt;Leo Tolstoy;1;1
Turchaninova Evdokija Dmitrievna;Leo Tolstoy;1;10
Solov'ev Aleksandr Titovich;Leo Tolstoy;1;10
Leo Tolstoy;Vladimir Nabokov;1;1
Gof Majkl;Leo Tolstoy;1;1
Nechaev-Mal'tsov Jurij Stepanovich;Leo Tolstoy;1;10
Mamedova Shafiga Gashim kyzy;Leo Tolstoy;1;1
Nikulina Nadezhda Alekseevna;Leo Tolstoy;1;10
Vahtangov Evgenij Bagrationovich;Leo Tolstoy;1;1
Leo Tolstoy;Bah Iogann Sebast'jan;1;10
Ivanov Jurij Valentinovich;Leo Tolstoy;1;1
Kurochkin Georgij Ivanovich;Leo Tolstoy;1;1
Hall Caine;Leo Tolstoy;1;10
Tolstoj Lev;Leo Tolstoy;1;10
Ansira Berni Sel'ma;Leo Tolstoy;1;1
Zhidkov Ivan Alekseevich;Leo Tolstoy;1;1
Norov Avraam Sergeevich;Leo Tolstoy;1;10
Mejlah Boris Solomonovich;Leo Tolstoy;1;1
Stankevich Mihail Sergeevich;Leo Tolstoy;1;1
Bryl' Janka;Leo Tolstoy;1;1
Dornhel'm Robert;Leo Tolstoy;1;1
Linder Isaak Maksovich;Leo Tolstoy;1;1
Dmitriev Vladimir Vladimirovich;Leo Tolstoy;1;1
Pogudin Oleg Evgen'evich;Leo Tolstoy;1;1
Samarina Antonina Nikolaevna;Leo Tolstoy;1;1
Semenov Sergej Terent'evich;Leo Tolstoy;1;10
Gerasin Viktor Ivanovich;Leo Tolstoy;1;1
Litovtseva Nina Nikolaevna;Leo Tolstoy;1;1
Viktor Korshunov;Leo Tolstoy;1;1
Tarasov Viktor Pavlovich;Leo Tolstoy;1;1
Rabij Barbu;Leo Tolstoy;1;1
Fajdzhes Orlando;Leo Tolstoy;1;1
Gruzinskij Aleksandr Pavlovich;Leo Tolstoy;1;1
Leo Tolstoy;Shopen Frederik;1;1
Michurina-Samojlova Vera Arkad'evna;Leo Tolstoy;1;1
Shkol'nikov Semen Semenovich;Leo Tolstoy;1;1
Borosha Milivoj;Leo Tolstoy;1;1
Pegova Irina Sergeevna;Leo Tolstoy;1;1
Lohvitskaja Mirra Aleksandrovna;Leo Tolstoy;1;1
Lentovskij Mihail Valentinovich;Leo Tolstoy;1;1
Kizevetter Iogann;Leo Tolstoy;1;1
Leo Tolstoy;Roger Martin du Gard;1;1
Kozak Nikolaj Mihajlovich;Leo Tolstoy;1;1
Dzhanibekjan Gurgen Dzhanibekovich;Leo Tolstoy;1;1
Baturin Evgenij Vasil'evich;Leo Tolstoy;1;10
Simonova Evgenija Pavlovna;Leo Tolstoy;1;1
Rusanov Andrej Gavrilovich;Leo Tolstoy;1;10
Pervuhin Mihail Konstantinovich;Leo Tolstoy;1;1
Leo Tolstoy;Aleksey_II;1;1
Leo Tolstoy;Krasko Ivan Ivanovich;1;1
Devite Regina;Leo Tolstoy;1;1
Fokin Valerij Vladimirovich;Leo Tolstoy;1;1
Chernevskij Sergej Antipovich;Leo Tolstoy;1;10
Chujkov Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Maljan David Melkumovich;Leo Tolstoy;1;1
Kenigson Vladimir Vladimirovich;Leo Tolstoy;1;1
Lopuhin Ilarion Dmitrievich;Leo Tolstoy;1;1
Pokidchenko Anna Jakovlevna;Leo Tolstoy;1;1
Mazurin Vasilij Petrovich;Leo Tolstoy;1;10
Novogrudskaja Marianna Gertselevna;Leo Tolstoy;1;1
Zavadovskij Petr Vasil'evich;Leo Tolstoy;1;1
Abe Tomodzi;Leo Tolstoy;1;1
Mescherjakov Nikolaj Leonidovich;Leo Tolstoy;1;1
Solovtsov Nikolaj Nikolaevich;Leo Tolstoy;1;1
Buturlin Sergej Petrovich;Leo Tolstoy;1;10
Kedrov Mihail Nikolaevich;Leo Tolstoy;1;1
Zherihov Nikolaj Ivanovich;Leo Tolstoy;1;1
Pluzhnik Evgenij Pavlovich;Leo Tolstoy;1;1
Kutushev Ahmet Shagiahmetovich;Leo Tolstoy;1;1
Porechenkov Mihail Evgen'evich;Leo Tolstoy;1;1
Uvarova Nelli Vladimirovna;Leo Tolstoy;1;1
Gromeka Stepan Stepanovich;Leo Tolstoy;1;10
Kobekin Vladimir Aleksandrovich;Leo Tolstoy;1;1
Koshka Petr Markovich;Leo Tolstoy;1;1
Gribunin Vladimir Fedorovich;Leo Tolstoy;1;1
Leo Tolstoy;Tolstoj Vladimir Il'ich;1;1
Jureneva Vera Leonidovna;Leo Tolstoy;1;1
Kajdanovskij Aleksandr Leonidovich;Leo Tolstoy;1;1
Lavrov Kirill Jur'evich;Leo Tolstoy;1;1
Tolstoj Vladimir Il'ich;Leo Tolstoy;1;1
Tarasova Alla Konstantinovna;Leo Tolstoy;1;1
Skrjabin Julian Aleksandrovich;Leo Tolstoy;1;1
Adamenko Grigorij Anatol'evich;Leo Tolstoy;1;1
Gurvich Elias;Leo Tolstoy;1;10
Androvskaja Ol'ga Nikolaevna;Leo Tolstoy;1;1
Hirshfel'd Magnus;Leo Tolstoy;1;1
Leont'ev Konstantin Nikolaevich;Leo Tolstoy;1;10
Garrison Uil'jam Llojd;Leo Tolstoy;1;10
Artem'ev Aleksandr Spiridonovich;Leo Tolstoy;1;1
Strizhneva Svetlana Efimovna;Leo Tolstoy;1;1
Volkov Solomon Moiseevich;Leo Tolstoy;1;1
Kipiani Mihail Kajharovich;Leo Tolstoy;1;10
Mann Tomas;Leo Tolstoy;1;1
Leo Tolstoy;Tolstoj Andrej L'vovich;1;10
Baratynskij Aleksandr Nikolaevich;Leo Tolstoy;1;1
Mikel'shtedter Karlo;Leo Tolstoy;1;1
Spivak Mihail L'vovich;Leo Tolstoy;1;1
Bilinkis Jakov Semenovich;Leo Tolstoy;1;1
Minor Solomon Alekseevich;Leo Tolstoy;1;10
Nahera Manuel' Gut'erres;Leo Tolstoy;1;1
Zaklunnaja Valerija Gavriilovna;Leo Tolstoy;1;1
Segjur Filipp Pol' de;Leo Tolstoy;1;10
Hans Christian Andersen;Leo Tolstoy;1;10
Pil'skij Petr Mosevich;Leo Tolstoy;1;1
Molochnikov Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Grigor'ev Afanasij Grigor'evich;Leo Tolstoy;1;1
Romanova Vera Konstantinovna;Leo Tolstoy;1;1
Taube Mihail Aleksandrovich;Leo Tolstoy;1;10
Titova Marija Andreevna;Leo Tolstoy;1;1
Bertha von Suttner;Leo Tolstoy;1;10
Vasnetsov Jurij Alekseevich;Leo Tolstoy;1;1
Avenarius Georgij Aleksandrovich;Leo Tolstoy;1;1
Fedotova Glikerija Nikolaevna;Leo Tolstoy;1;10
Platonov Boris Viktorovich;Leo Tolstoy;1;1
Pahomov Vladimir Mihajlovich;Leo Tolstoy;1;1
Pevtsov Illarion Nikolaevich;Leo Tolstoy;1;1
Tolstoj Il'ja Andreevich;Leo Tolstoy;1;10
Sollogub Fedor L'vovich;Leo Tolstoy;1;10
Tsebrikova Marija Konstantinovna;Leo Tolstoy;1;10
Suhanov Nikolaj Nikolaevich;Leo Tolstoy;1;1
Otsep Fedor Aleksandrovich;Leo Tolstoy;1;1
Chebodaev Mihail Nikolaevich;Leo Tolstoy;1;1
Lang Marija;Leo Tolstoy;1;1
Otomar Krejča;Leo Tolstoy;1;1
Ravenskih Boris Ivanovich;Leo Tolstoy;1;1
Koni Anatolij Fedorovich;Leo Tolstoy;1;10
Azbukin Dmitrij Ivanovich;Leo Tolstoy;1;1
Davu Lui Nikola;Leo Tolstoy;1;10
Shklovskij Viktor Borisovich;Leo Tolstoy;1;1
Leo Tolstoy;Makarova Tamara Fedorovna;1;1
Leo Tolstoy;Kovalevskij Osip Mihajlovich;1;1
Grazia Deledda;Leo Tolstoy;1;1
Mirbo Oktav;Leo Tolstoy;1;10
Bogatyrev Jurij Georgievich;Leo Tolstoy;1;1
Chistalev Veniamin Timofeevich;Leo Tolstoy;1;1
Gomboev Galsan;Leo Tolstoy;1;1
Leo Tolstoy;Montesk'e Sharl'-Lui de Sekonda;1;10
Leo Tolstoy;Annenkov Pavel Vasil'evich;1;10
Scheglov Vladimir Georgievich;Leo Tolstoy;1;1
Morejnis-Muratova Fani Abramovna;Leo Tolstoy;1;1
Leo Tolstoy;Gertsen Aleksandr Ivanovich;1;10
Bezchastnov Igor' Mihajlovich;Leo Tolstoy;1;1
Odoevskij Vladimir Fedorovich;Leo Tolstoy;2;10
Raskatov Lev Viktorovich;Leo Tolstoy;1;1
Nikolaev Mihail Efimovich;Leo Tolstoy;1;1
Gozenpud Abram Akimovich;Leo Tolstoy;1;1
Stanislavskij Konstantin Sergeevich;Leo Tolstoy;1;10
L'vov Georgij Evgen'evich;Leo Tolstoy;1;10
Kaljagin Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Sulerzhitskij Leopol'd;Leo Tolstoy;1;10
Polonskij Jakov Petrovich;Leo Tolstoy;1;10
Ul'janinskij Dmitrij Vasil'evich;Leo Tolstoy;1;1
Bojarskij Sergej Aleksandrovich;Leo Tolstoy;1;1
Davydov Nikolaj Vasil'evich;Leo Tolstoy;1;10
Burenin Viktor Petrovich;Leo Tolstoy;1;10
Leo Tolstoy;Mann Tomas;1;1
Kashpur Vladimir Terent'evich;Leo Tolstoy;1;1
Vogjue Ezhen Mel'hior de;Leo Tolstoy;1;10
Rozanova Susanna Abramovna;Leo Tolstoy;1;1
Orlov Dmitrij Alekseevich;Leo Tolstoy;1;1
Leo Tolstoy;Ivashkevich Jaroslav;1;1
Shipov Dmitrij Nikolaevich;Leo Tolstoy;1;1
Erdenko Mihail Gavrilovich;Leo Tolstoy;1;10
Romanovich Evgenij Stepanovich;Leo Tolstoy;1;1
Nazhivin Ivan Fedorovich;Leo Tolstoy;1;10
Gol'denvejzer Emmanuel' Aleksandrovich;Leo Tolstoy;1;10
Petker Boris Jakovlevich;Leo Tolstoy;1;1
Bogatyrenko Pavla Zaharovna;Leo Tolstoy;1;1
Nikolaev Petr Petrovich;Leo Tolstoy;1;10
Prijma Fedor Jakovlevich;Leo Tolstoy;1;1
Anderson Dzhon;Leo Tolstoy;1;1
Zhupanchich Oton;Leo Tolstoy;1;1
Tolstoj Lev;Leo Tolstoy;1;10
Sidel'nikova Zinaida Jakovlevna;Leo Tolstoy;1;1
Leo Tolstoy;Stefan Zweig;1;1
Arisima Takeo;Leo Tolstoy;1;1
Leo Tolstoy;Grigor'ev Apollon Aleksandrovich;1;10
Rusheva Nadezhda Nikolaevna;Leo Tolstoy;1;1
Poltoratskij Vladimir Alekseevich;Leo Tolstoy;1;10
Pasternak Leonid Osipovich;Leo Tolstoy;1;10
Ertel' Aleksandr Ivanovich;Leo Tolstoy;1;10
Zhil'tsov Aleksej Vasil'evich;Leo Tolstoy;1;1
Senesh Hana;Leo Tolstoy;1;1
Grinman Il'ja Abramovich;Leo Tolstoy;1;10
Tiblen Nikolaj L'vovich;Leo Tolstoy;1;1
Fejnerman Isaak Borisovich;Leo Tolstoy;1;1
Arenskij Anton Stepanovich;Leo Tolstoy;1;1
Piotrovskij Jurij Georgievich;Leo Tolstoy;1;1
Tolstaja Sof'ja Andreevna;Leo Tolstoy;1;10
Glebov Stepan Bogdanovich;Leo Tolstoy;1;10
Tolstoj Mihail Pavlovich;Leo Tolstoy;2;1
Schukin Boris Fedorovich;Leo Tolstoy;1;1
Navrotskij Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Il'inskij Igor' Vladimirovich;Leo Tolstoy;1;1
Markov Evgenij L'vovich;Leo Tolstoy;1;10
Sinel'nikov Nikolaj Nikolaevich;Leo Tolstoy;1;1
Golovko Vjacheslav Mihajlovich;Leo Tolstoy;1;1
Kozmesku Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Zulonas Pjatras Jonovich;Leo Tolstoy;1;1
John Ruskin;Leo Tolstoy;1;1
Kazem-Bek Aleksandr L'vovich;Leo Tolstoy;1;1
Leo Tolstoy;Fet Afanasij Afanas'evich;1;10
Gol'denvejzer Aleksandr Solomonovich;Leo Tolstoy;1;10
Obolenskij Leonid Egorovich;Leo Tolstoy;1;10
Vil'bushevich Moshe;Leo Tolstoy;1;1
Popova Vera Nikolaevna;Leo Tolstoy;1;10
Skvortsov Il'ja Vadimovich;Leo Tolstoy;1;1
Simov Viktor Andreevich;Leo Tolstoy;1;1
Tsiskaridze Nikolaj Maksimovich;Leo Tolstoy;1;1
Tolstoj Nikita Il'ich;Leo Tolstoy;1;1
Leo Tolstoy;George Frideric Handel;1;1
Busygina Anastasija Vladimirovna;Leo Tolstoy;1;1
Golovin Ivan Mihajlovich;Leo Tolstoy;1;10
Tsiolkovskij Konstantin Eduardovich;Leo Tolstoy;1;1
Tolstaja Aleksandra L'vovna;Leo Tolstoy;1;10
Stasov Vladimir Vasil'evich;Leo Tolstoy;1;10
Saneatsu Mushanokoji;Leo Tolstoy;1;1
Korablev Vasilij Nikolaevich;Leo Tolstoy;1;1
Chemenzeminli Jusif Vezir;Leo Tolstoy;1;1
Leo Tolstoy;Nikolai;1;10
Vladimir Shainskiy;Leo Tolstoy;1;1
Dzhigarhanjan Armen Borisovich;Leo Tolstoy;1;1
Leo Tolstoy;Lelevel' Ioahim;1;10
Suhotina-Tolstaja Tat'jana L'vovna;Leo Tolstoy;1;1
Polosin Evgenij Maksimovich;Leo Tolstoy;1;1
Gadaev Magomed-Salah;Leo Tolstoy;1;1
Dolgorukov Vasilij Andreevich;Leo Tolstoy;1;10
Kianto Ilmari;Leo Tolstoy;1;1
Minkailov El'brus Salaudyevich;Leo Tolstoy;1;1
Dondukova-Korsakova Marija Mihajlovna;Leo Tolstoy;1;10
Jatsko Igor' Vladimirovich;Leo Tolstoy;1;1
Romain Rolland;Leo Tolstoy;1;10
Modzalevskij Boris L'vovich;Leo Tolstoy;1;1
Mogilevskij Abram Il'ich;Leo Tolstoy;1;10
Stolypin Aleksej Arkad'evich;Leo Tolstoy;1;10
Kljuev Nikolaj Alekseevich;Leo Tolstoy;1;1
Teleshov Nikolaj Dmitrievich;Leo Tolstoy;1;10
Leo Tolstoy;Ge Nikolaj Nikolaevich;1;10
Kupchenko Irina Petrovna;Leo Tolstoy;1;1
Ryzhova Tat'jana Nikolaevna;Leo Tolstoy;1;1
Skvortsov Vasilij Mihajlovich;Leo Tolstoy;1;1
Koreneva Lidija Mihajlovna;Leo Tolstoy;1;1
Urusov Sergej Semenovich;Leo Tolstoy;1;10
Polivanov Lev Ivanovich;Leo Tolstoy;1;10
Leo Wiener;Leo Tolstoy;1;1
Leo Tolstoy;Stasov Vladimir Vasil'evich;1;10
Bernarden de Sen-P'er Zhak-Anri;Leo Tolstoy;1;10
Barykova Anna Pavlovna;Leo Tolstoy;1;10
Ivan Cankar;Leo Tolstoy;1;1
Il'inskij Igor' Vladimirovich;Leo Tolstoy;1;1
Henryk Sienkiewicz;Leo Tolstoy;1;1
Chajkovskij Boris Vital'evich;Leo Tolstoy;1;1
Kessler Duvid;Leo Tolstoy;1;1
Enneken Emil';Leo Tolstoy;1;1
Trostjanetskij Gennadij Rafailovich;Leo Tolstoy;1;1
Dudyshkin Stepan Semenovich;Leo Tolstoy;1;10
Veresaev Vikentij Vikent'evich;Leo Tolstoy;1;10
Astrid Lindgren;Leo Tolstoy;1;1
Jushkov Aleksandr Ivanovich;Leo Tolstoy;1;1
Abamelek Anna Davydovna;Leo Tolstoy;1;1
Mehmandarov Samed-bek Sadyh-bek ogly;Leo Tolstoy;1;1
Lejko Marija Karlovna;Leo Tolstoy;1;1
Knebel' Marija Osipovna;Leo Tolstoy;1;1
Goldmen Dzhejms;Leo Tolstoy;1;1
Prokudin-Gorskij Sergej Mihajlovich;Leo Tolstoy;1;10
Gorchakov Ivan Fedorovich;Leo Tolstoy;1;10
Leo Tolstoy;Skabichevskij Aleksandr Mihajlovich;1;10
Karm Kaarel;Leo Tolstoy;1;1
Makashin Sergej Aleksandrovich;Leo Tolstoy;1;1
Surenjants Vardges Akopovich;Leo Tolstoy;1;1
Lashkarev Sergej Sergeevich;Leo Tolstoy;1;1
Elebaev Mukaj;Leo Tolstoy;1;1
Leo Tolstoy;Popov Evgenij Ivanovich;1;10
Leo Tolstoy;Felix Mendelssohn;1;10
Kaljaev Ivan Platonovich;Leo Tolstoy;1;1
Strel'nikov Nikolaj Mihajlovich;Leo Tolstoy;1;1
Leo Tolstoy;Tolstoj Mihail L'vovich;1;10
Sorokin Pitirim Aleksandrovich;Leo Tolstoy;1;1
Arabazhin Konstantin Ivanovich;Leo Tolstoy;1;1
Kroders Ol'gert;Leo Tolstoy;1;1
Selihanovich Aleksandr Bronislavovich;Leo Tolstoy;1;1
Akashkin Vjacheslav Pavlovich;Leo Tolstoy;1;1
Peshkova Dar'ja Maksimovna;Leo Tolstoy;1;1
Petrov Grigorij Spiridonovich;Leo Tolstoy;1;10
Bedro Ivan Prohorovich;Leo Tolstoy;1;10
Grigonis Matas;Leo Tolstoy;1;1
Kerbabaev Berdy Muradovich;Leo Tolstoy;1;1
Durasova Marija Aleksandrovna;Leo Tolstoy;1;1
Miljuzina Lidija Andreevna;Leo Tolstoy;1;1
Sinu Kira;Leo Tolstoy;1;1
Leo Tolstoy;Leont'ev Konstantin Nikolaevich;1;10
Nikitin Mihail Matveevich;Leo Tolstoy;1;1
Markov Vasilij Petrovich;Leo Tolstoy;1;1
Samokish Nikolaj Semenovich;Leo Tolstoy;1;1
Hikmet Nazym;Leo Tolstoy;1;1
Beloborodov Nikolaj Ivanovich;Leo Tolstoy;1;1
Toporkov Vasilij Osipovich;Leo Tolstoy;1;1
Novokreschenova Galina Nikolaevna;Leo Tolstoy;1;1
Тэффи;Leo Tolstoy;1;1
Volchkov Nikolaj Nikolaevich;Leo Tolstoy;1;1
Patti Adelina;Leo Tolstoy;1;10
Karelina Galina Timofeevna;Leo Tolstoy;1;1
Bludov Dmitrij Nikolaevich;Leo Tolstoy;1;10
Tolstoj Il'ja Andreevich;Leo Tolstoy;1;10
Gur-Ar'e Jeguda;Leo Tolstoy;1;1
Leo Tolstoy;Berthold Auerbach;1;1
Mironov Petr Grigor'evich;Leo Tolstoy;1;1
Poljakova Elena Ivanovna;Leo Tolstoy;1;1
Masal'skaja Nina Nikolaevna;Leo Tolstoy;1;1
Leo Tolstoy;Volkonskij Nikolaj Sergeevich;1;10
Fomenko Petr Naumovich;Leo Tolstoy;1;1
Lur'e Jakov Moiseevich;Leo Tolstoy;1;10
Leo Tolstoy;Turgeneva Varvara Petrovna;1;10
Filevskij Ivan Ivanovich;Leo Tolstoy;1;1
Kantor Moisej Isaakovich;Leo Tolstoy;1;1
Artem Aleksandr Rodionovich;Leo Tolstoy;1;1
Ode-de-Sion Aleksandr Karlovich;Leo Tolstoy;1;1
Drozdov Gleb Borisovich;Leo Tolstoy;1;1
Tolstoj Fedor Petrovich;Leo Tolstoy;1;10
Leo Tolstoy;Sventsitskij Valentin Pavlovich;1;1
Hilkov Dmitrij Aleksandrovich;Leo Tolstoy;1;10
Gusman Boris Evseevich;Leo Tolstoy;1;1
Vat Aleksander;Leo Tolstoy;1;1
Schegolenok Vasilij Petrovich;Leo Tolstoy;1;10
Savina Vera Jur'evna;Leo Tolstoy;1;1
Mubarjakov Arslan Kotlyahmetovich;Leo Tolstoy;1;1
Kuple Dina;Leo Tolstoy;1;1
