Source;Target;Weight;In index
Toporov Adrian Mitrofanovich;Leo Tolstoy;1;1
Emma Goldman;Leo Tolstoy;1;1
Marchenko Julija Gennad'evna;Leo Tolstoy;1;1
Meklin Natal'ja Fedorovna;Leo Tolstoy;1;1
Avilova Lidija Alekseevna;Leo Tolstoy;1;10
Lazarev Vladimir Jakovlevich;Leo Tolstoy;1;1
Vil'jams Garol'd;Leo Tolstoy;1;10
Leo Tolstoy;Minor Solomon Alekseevich;1;10
Zanet Fedor Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Ivan Turgenev;1;10
Lou Dzhud;Leo Tolstoy;1;1
Leo Tolstoy;Zen'kovskij Vasilij Vasil'evich;1;1
Tolstoj Petr Olegovich;Leo Tolstoy;1;1
Houells Uil'jam Din;Leo Tolstoy;1;10
Slavutinskij Stepan Timofeevich;Leo Tolstoy;1;1
Lipov Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Esenina-Tolstaja Sof'ja Andreevna;Leo Tolstoy;1;1
Ramiev Sagit Lutfullovich;Leo Tolstoy;1;1
Kaledin Sergej Evgen'evich;Leo Tolstoy;1;1
Brisso Eduard;Leo Tolstoy;1;10
Vatagin Vasilij Alekseevich;Leo Tolstoy;1;1
Asmus Valentin Ferdinandovich;Leo Tolstoy;1;1
Gartung Marija Aleksandrovna;Leo Tolstoy;1;10
Baumann Hans;Leo Tolstoy;1;1
Guchkov Nikolaj Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Strahov Nikolaj Nikolaevich;1;10
Tumas Juozas;Leo Tolstoy;1;1
Chejshvili Aleksandr Nikolaevich;Leo Tolstoy;1;1
Stepnjak-Kravchinskij Sergej Mihajlovich;Leo Tolstoy;1;10
Tolstaja Tat'jana;Leo Tolstoy;1;10
Nerman Ture;Leo Tolstoy;1;1
Shanks Emilija Jakovlevna;Leo Tolstoy;1;1
Salias-de-Turnemir Evgenij Andreevich;Leo Tolstoy;1;10
Tsurkanu Jurij Mihajlovich;Leo Tolstoy;1;1
Konenkov Sergej Timofeevich;Leo Tolstoy;1;1
Drozhzhin Spiridon Dmitrievich;Leo Tolstoy;1;10
Stolypin Petr Arkad'evich;Leo Tolstoy;1;10
Constance Garnett;Leo Tolstoy;2;10
Spesivtsev Vjacheslav Semenovich;Leo Tolstoy;1;1
Antuan Andre;Leo Tolstoy;2;1
Kocharjan Suren Akimovich;Leo Tolstoy;1;1
Jahontov Vladimir Nikolaevich;Leo Tolstoy;1;1
Konneri Shon;Leo Tolstoy;1;1
Lopatin Mihail Nikolaevich;Leo Tolstoy;1;10
Olsuf'ev Vasilij Dmitrievich;Leo Tolstoy;1;10
Kluni Dzhordzh;Leo Tolstoy;1;1
Bulla Karl Karlovich;Leo Tolstoy;1;1
Churkin Vitalij Ivanovich;Leo Tolstoy;1;1
Christian Morgenstern;Leo Tolstoy;1;1
Kassirs Gi;Leo Tolstoy;1;1
Ivanychev Evgenij Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Filippov Tertij Ivanovich;1;10
Polner Tihon Ivanovich;Leo Tolstoy;1;1
Kajsarov Andrej Sergeevich;Leo Tolstoy;1;10
Lebedev Vladimir Vasil'evich;Leo Tolstoy;1;1
Medvedeva Polina Vladimirovna;Leo Tolstoy;1;1
Abramov Jakov Vasil'evich;Leo Tolstoy;1;10
Leo Tolstoy;Tolstoj Nikolaj Nikolaevich;1;10
Lieldidzhs Uldis;Leo Tolstoy;1;1
Chertkov Vladimir Grigor'evich;Leo Tolstoy;2;10
Kibardina Valentina Tihonovna;Leo Tolstoy;1;1
Nikol'skij Georgij Evlampievich;Leo Tolstoy;1;1
Paskevich Irina Ivanovna;Leo Tolstoy;1;1
