Source;Target;Weight;
Гартунг, Мария Александровна;Tolstoy;1;
Бауманн, Ханс;Tolstoy;1;
Гучков, Николай Иванович;Tolstoy;1;
Tolstoy;Страхов, Николай Николаевич;1;
Тумас, Юозас;Tolstoy;1;
Лауреаты Государственной премии СССР в области литературы, искусства и архитектуры;Tolstoy;1;
Чейшвили, Александр Николаевич;Tolstoy;1;
Степняк-Кравчинский, Сергей Михайлович;Tolstoy;1;
Толстая, Татьяна (значения);Tolstoy;1;
Нерман, Туре;Tolstoy;1;
Шанкс, Эмилия Яковлевна;Tolstoy;1;
Салиас-де-Турнемир, Евгений Андреевич;Tolstoy;1;
Цуркану, Юрий Михайлович;Tolstoy;1;
Конёнков, Сергей Тимофеевич;Tolstoy;1;
Дрожжин, Спиридон Дмитриевич;Tolstoy;1;
Столыпин, Пётр Аркадьевич;Tolstoy;1;
Constance Garnett;Tolstoy;2;
Спесивцев, Вячеслав Семёнович;Tolstoy;1;
Антуан, Андре;Tolstoy;2;
Кочарян, Сурен Акимович;Tolstoy;1;
Яхонтов, Владимир Николаевич;Tolstoy;1;
Коннери, Шон;Tolstoy;1;
Лопатин, Михаил Николаевич;Tolstoy;1;
Олсуфьев, Василий Дмитриевич;Tolstoy;1;
Клуни, Джордж;Tolstoy;1;
Булла, Карл Карлович;Tolstoy;1;
Чуркин, Виталий Иванович;Tolstoy;1;
Christian Morgenstern;Tolstoy;1;
Кассирс, Ги;Tolstoy;1;
Иванычев, Евгений Иванович;Tolstoy;1;
Tolstoy;Филиппов, Тертий Иванович;1;
Полнер, Тихон Иванович;Tolstoy;1;
Кайсаров, Андрей Сергеевич;Tolstoy;1;
Лебедев, Владимир Васильевич;Tolstoy;1;
Медведева, Полина Владимировна;Tolstoy;1;
Абрамов, Яков Васильевич;Tolstoy;1;
Tolstoy;Толстой, Николай Николаевич;1;
Лиелдиджс, Улдис;Tolstoy;1;
Чертков, Владимир Григорьевич;Tolstoy;2;
Кибардина, Валентина Тихоновна;Tolstoy;1;
Никольский, Георгий Евлампиевич;Tolstoy;1;
Паскевич, Ирина Ивановна;Tolstoy;1;
Трубецкой, Иван Дмитриевич;Tolstoy;1;
Tolstoy;Панаев, Иван Иванович;1;
Курсинский, Александр Антонович;Tolstoy;1;
Чернов, Виктор Михайлович;Tolstoy;1;
Боярский, Александр Сергеевич;Tolstoy;1;
Миклухо-Маклай, Николай Николаевич;Tolstoy;1;
Гомбоев, Дампил Гомбоевич;Tolstoy;1;
Верещенко, Николай Алексеевич;Tolstoy;1;
Марсо, Софи;Tolstoy;1;
Tolstoy; Александр_II;2;
Мейвор, Джеймс;Tolstoy;1;
Луначарский, Анатолий Васильевич;Tolstoy;1;
Колобаев, Александр Аркадьевич;Tolstoy;1;
Стахович, Александр Александрович (1830);Tolstoy;1;
Гулакян, Армен Карапетович;Tolstoy;1;
Голосов, Илья Александрович;Tolstoy;1;
Дурова, Наталья Юрьевна;Tolstoy;1;
Зязиков, Багаудин Хусейнович;Tolstoy;1;
Нин, Андреу;Tolstoy;1;
Щедрин, Родион Константинович;Tolstoy;1;
Лужский, Василий Васильевич;Tolstoy;1;
Харито, Николай Иванович;Tolstoy;1;
Нароков, Михаил Семёнович;Tolstoy;1;
Солдатов, Олег Юрьевич;Tolstoy;1;
Успенский, Николай Васильевич;Tolstoy;1;
Димитерс, Артур;Tolstoy;1;
Бутромеев, Владимир Петрович;Tolstoy;1;
Смильгис, Эдуард Янович;Tolstoy;1;
Апсит, Александр Петрович;Tolstoy;1;
Милонов, Николай Александрович;Tolstoy;1;
Tolstoy;Дистервег, Адольф;1;
Грузенберг, Семён Осипович;Tolstoy;1;
Саводник, Владимир Федорович;Tolstoy;1;
Москвин, Иван Михайлович;Tolstoy;1;
Толстой, Илья;Tolstoy;1;
Блинников, Сергей Капитонович;Tolstoy;1;
Бялокозович, Базыли;Tolstoy;1;
Горбов, Николай Михайлович;Tolstoy;1;
Слепцов, Николай Павлович;Tolstoy;1;
Шульц, Арсений Леонидович;Tolstoy;1;
Петерсон, Михаил Николаевич;Tolstoy;1;
Vitaly Solomin;Tolstoy;1;
Драганов, Пётр Данилович;Tolstoy;1;
Комаров, Матвей;Tolstoy;1;
Морков, Аркадий Иванович;Tolstoy;1;
Беляев, Александр Петрович;Tolstoy;1;
Либединская, Лидия Борисовна;Tolstoy;1;
Массальский, Павел Владимирович;Tolstoy;2;
Ростовцев, Николай Яковлевич;Tolstoy;1;
Хлебников, Велимир;Tolstoy;1;
Толстая, Татьяна Никитична;Tolstoy;1;
Попов, Павел Сергеевич;Tolstoy;2;
Лорис-Меликов, Михаил Тариэлович;Tolstoy;1;
Стыка, Ян;Tolstoy;1;
Tolstoy;Соллогуб, Владимир Александрович;1;
Tolstoy;Леонов, Леонид Максимович;1;
Иванов, Пётр Константинович;Tolstoy;1;
Зепалов, Пётр Николаевич;Tolstoy;1;
Шелохонов, Пётр Илларионович;Tolstoy;1;
Адашев, Александр Иванович;Tolstoy;1;
Tolstoy;Heinrich Mann;1;
Гальперин-Каминский, Илья Даниилович;Tolstoy;1;
Икскуль фон Гильденбанд, Варвара Ивановна;Tolstoy;1;
Ламбль, Ян Баптиста;Tolstoy;1;
Tolstoy;Ильин, Иван Александрович;1;
Сытин, Иван Дмитриевич;Tolstoy;1;
Волков, Михаил Давидович;Tolstoy;1;
Алданов, Марк Александрович;Tolstoy;1;
Щедрин, Борис Ефимович;Tolstoy;1;
Francis Davis Millet;Tolstoy;1;
Депрерадович, Леонтий Иванович;Tolstoy;1;
Кадоно, Эйко;Tolstoy;1;
Мареев, Сергей Николаевич;Tolstoy;1;
Малеванов, Николай Александрович;Tolstoy;1;
Каплан, Авраам Элияу;Tolstoy;1;
Paul de Kock;Tolstoy;1;
Лебедева, Ольга Сергеевна;Tolstoy;1;
Горчаков, Михаил Алексеевич;Tolstoy;1;
Гальперин, Фальк;Tolstoy;1;
Гапон, Георгий Аполлонович;Tolstoy;1;
Albert Einstein;Tolstoy;1;
Менгден, Владимир Михайлович;Tolstoy;1;
Рыбаков, Константин Николаевич;Tolstoy;1;
Ряшенцев, Юрий Евгеньевич;Tolstoy;1;
Рыжова, Варвара Николаевна;Tolstoy;1;
Карамзина, Екатерина Андреевна;Tolstoy;1;
Саракаев, Хамзат Ибрагим-Бекович;Tolstoy;1;
Вентцель, Николай Николаевич;Tolstoy;1;
Добролюбов, Александр Михайлович;Tolstoy;1;
Швейцер, Михаил Абрамович;Tolstoy;1;
Шлёнский, Авраам;Tolstoy;1;
Давыдов, Степан Иванович;Tolstoy;1;
Jeremy Brett biography and credits;Tolstoy;1;
Пилявская, Софья Станиславовна;Tolstoy;1;
Шоссон, Эрнест;Tolstoy;1;
Бирман, Серафима Германовна;Tolstoy;1;
Немирович-Данченко, Владимир Иванович;Tolstoy;1;
Johann Wolfgang von Goethe;Tolstoy;1;
Амьель, Анри-Фредерик;Tolstoy;1;
Бондарев, Тимофей Михайлович;Tolstoy;1;
Барадийн, Базар Барадиевич;Tolstoy;1;
Судаков, Илья Яковлевич;Tolstoy;1;
